"height","species_ID"
146.15,"species_1"
108.61,"species_1"
148.74,"species_2"
122.01,"species_1"
176.02,"species_2"
62.02,"species_1"
167.94,"species_1"
183.83,"species_2"
237.81,"species_2"
212.56,"species_2"
217.2,"species_1"
239.28,"species_1"
61.79,"species_2"
167.1,"species_1"
95.77,"species_1"
153.14,"species_2"
101.01,"species_2"
148.71,"species_1"
167.46,"species_2"
172.23,"species_2"
144.69,"species_1"
192.72,"species_2"
213.32,"species_2"
82.89,"species_1"
97.56,"species_1"
212.64,"species_1"
175.79,"species_1"
153.7,"species_1"
219.93,"species_2"
208.53,"species_2"
158.92,"species_2"
136.24,"species_2"
137.31,"species_1"
189.6,"species_2"
165.67,"species_2"
155.87,"species_1"
157.5,"species_1"
173.48,"species_2"
157.13,"species_1"
104.81,"species_2"
183.86,"species_1"
152.64,"species_2"
203.41,"species_1"
139.77,"species_2"
113.3,"species_1"
93.15,"species_1"
231.04,"species_2"
164.31,"species_1"
164.72,"species_1"
164.33,"species_2"
123.38,"species_1"
164.5,"species_2"
147.91,"species_1"
98.14,"species_1"
172.18,"species_2"
216.19,"species_2"
205.97,"species_1"
165,"species_1"
209.45,"species_2"
204.71,"species_2"
139.89,"species_2"
170.94,"species_1"
189.64,"species_1"
118.07,"species_1"
185.78,"species_1"
77.95,"species_1"
164.46,"species_1"
160.94,"species_2"
162.86,"species_2"
214.32,"species_1"
296.95,"species_2"
183.43,"species_1"
202.98,"species_2"
249.93,"species_1"
136.45,"species_1"
195.46,"species_1"
171.02,"species_1"
247.03,"species_2"
209,"species_2"
196.99,"species_1"
117.58,"species_1"
111.62,"species_1"
177.87,"species_1"
204.68,"species_1"
143.63,"species_1"
136.56,"species_2"
207.94,"species_2"
181.48,"species_2"
104.75,"species_1"
176.29,"species_2"
223.76,"species_2"
181.55,"species_1"
194.8,"species_2"
138.04,"species_2"
149.48,"species_2"
129.13,"species_1"
151.93,"species_1"
218.3,"species_1"
129.7,"species_1"
249.28,"species_2"
